"Decade","Performer","n"
"1950","Connie Francis",114
"1950","Ricky Nelson",110
"1950","Pat Boone",109
"1950","Frankie Avalon",103
"1950","Tommy Edwards",103
"1950","Fats Domino",100
"1950","The Everly Brothers",96
"1950","Johnny Mathis",87
"1950","Jimmie Rodgers",79
"1950","Duane Eddy His Twangy Guitar And The Rebels",76
"1950","Paul Anka",74
"1950","The Platters",74
"1950","Bobby Darin",72
"1950","Jack Scott",72
"1950","Brook Benton",70
"1950","Elvis Presley With The Jordanaires",66
"1950","Jackie Wilson",65
"1950","The Kingston Trio",65
"1950","The Coasters",64
"1950","Chuck Berry",62
"1950","Conway Twitty",62
"1950","Fabian",62
"1950","Ritchie Valens",61
"1950","Sam Cooke",61
"1950","Clyde McPhatter",60
"1950","Dion & The Belmonts",57
"1950","Nat King Cole",56
"1950","Johnny Cash",54
"1950","The Crests",54
"1950","LaVern Baker",53
"1960","The Beatles",478
"1960","Brenda Lee",410
"1960","Elvis Presley With The Jordanaires",394
"1960","Connie Francis",373
"1960","The Beach Boys",340
"1960","Chubby Checker",297
"1960","Ray Charles",287
"1960","Bobby Vinton",278
"1960","Dionne Warwick",275
"1960","Jackie Wilson",269
"1960","Brook Benton",267
"1960","Roy Orbison",267
"1960","Sam Cooke",265
"1960","Bobby Darin",256
"1960","James Brown And The Famous Flames",251
"1960","The Impressions",236
"1960","The Temptations",236
"1960","The Drifters",231
"1960","Fats Domino",219
"1960","Gene Pitney",219
"1960","Marvin Gaye",218
"1960","The Rolling Stones",218
"1960","Bobby Rydell",216
"1960","The Marvelettes",216
"1960","Aretha Franklin",215
"1960","Johnny Tillotson",214
"1960","Andy Williams",207
"1960","Jerry Butler",206
"1960","The Dave Clark Five",206
"1960","Bobby Vee",205
"1970","Bee Gees",333
"1970","Chicago",310
"1970","Elton John",297
"1970","Carpenters",295
"1970","Elvis Presley",269
"1970","James Brown",265
"1970","Gladys Knight And The Pips",262
"1970","Helen Reddy",260
"1970","Stevie Wonder",260
"1970","Neil Diamond",257
"1970","John Denver",256
"1970","Earth, Wind & Fire",243
"1970","Olivia Newton-John",242
"1970","Barry Manilow",234
"1970","Electric Light Orchestra",228
"1970","Linda Ronstadt",228
"1970","Eagles",218
"1970","Three Dog Night",217
"1970","Al Green",211
"1970","The Doobie Brothers",209
"1970","The Spinners",207
"1970","Jackson 5",205
"1970","Diana Ross",203
"1970","Wings",201
"1970","Commodores",198
"1970","Rod Stewart",197
"1970","The Isley Brothers",193
"1970","ABBA",192
"1970","Anne Murray",192
"1970","The Temptations",192
"1980","Daryl Hall John Oates",363
"1980","Madonna",333
"1980","Billy Joel",330
"1980","Kool & The Gang",315
"1980","Elton John",298
"1980","The Pointer Sisters",287
"1980","Journey",273
"1980","Rod Stewart",270
"1980","Michael Jackson",266
"1980","Chicago",265
"1980","Huey Lewis & The News",262
"1980","Sheena Easton",261
"1980","Rick Springfield",260
"1980","Pat Benatar",255
"1980","Lionel Richie",250
"1980","REO Speedwagon",241
"1980","Kenny Loggins",238
"1980","Survivor",234
"1980","Prince",231
"1980","Air Supply",226
"1980","Stevie Wonder",222
"1980","Diana Ross",221
"1980","Duran Duran",221
"1980","Genesis",220
"1980","Heart",220
"1980","Bruce Springsteen",219
"1980","Phil Collins",214
"1980","Steve Winwood",213
"1980","Billy Ocean",205
"1980","Donna Summer",200
"1990","Madonna",407
"1990","Mariah Carey",386
"1990","Boyz II Men",327
"1990","TLC",286
"1990","Whitney Houston",285
"1990","Elton John",279
"1990","Celine Dion",265
"1990","Janet Jackson",258
"1990","Mary J. Blige",255
"1990","Gloria Estefan",240
"1990","Toni Braxton",236
"1990","Michael Bolton",228
"1990","En Vogue",221
"1990","R. Kelly",218
"1990","Shania Twain",210
"1990","Aerosmith",207
"1990","Jodeci",207
"1990","SWV",201
"1990","Color Me Badd",200
"1990","Ace Of Base",190
"1990","Rod Stewart",190
"1990","Jon Secada",187
"1990","Bryan Adams",184
"1990","Brandy",183
"1990","LL Cool J",180
"1990","Michael Jackson",178
"1990","Hootie & The Blowfish",177
"1990","Tevin Campbell",177
"1990","Phil Collins",172
"1990","Richard Marx",171
"2000","Rascal Flatts",454
"2000","Toby Keith",433
"2000","Kenny Chesney",413
"2000","Tim McGraw",404
"2000","Keith Urban",381
"2000","Nickelback",378
"2000","George Strait",368
"2000","Brad Paisley",358
"2000","P!nk",345
"2000","Kelly Clarkson",321
"2000","Alan Jackson",301
"2000","Taylor Swift",299
"2000","Beyonce",277
"2000","Linkin Park",273
"2000","Brooks & Dunn",272
"2000","Alicia Keys",271
"2000","Britney Spears",269
"2000","Montgomery Gentry",268
"2000","3 Doors Down",267
"2000","Lonestar",247
"2000","Carrie Underwood",244
"2000","The Black Eyed Peas",244
"2000","Rihanna",234
"2000","Faith Hill",228
"2000","Destiny's Child",222
"2000","Eminem",218
"2000","matchbox twenty",218
"2000","T.I.",218
"2000","Avril Lavigne",212
"2000","Dierks Bentley",208
"2010","Drake",673
"2010","Taylor Swift",570
"2010","Luke Bryan",399
"2010","Imagine Dragons",394
"2010","Bruno Mars",380
"2010","Ed Sheeran",361
"2010","Jason Aldean",350
"2010","Blake Shelton",334
"2010","Rihanna",332
"2010","The Weeknd",302
"2010","Adele",294
"2010","Lady Antebellum",281
"2010","One Direction",279
"2010","Katy Perry",272
"2010","Eric Church",266
"2010","Maroon 5",266
"2010","Carrie Underwood",261
"2010","Keith Urban",257
"2010","Nicki Minaj",255
"2010","Jason Derulo",248
"2010","Kenny Chesney",242
"2010","OneRepublic",234
"2010","Chris Brown",232
"2010","Justin Bieber",231
"2010","Lady Gaga",229
"2010","Zac Brown Band",221
"2010","Thomas Rhett",214
"2010","Chris Young",211
"2010","Demi Lovato",209
"2010","Florida Georgia Line",208
